alpha_two_code,Name,web_pages,state-province,domains,Address,logo,logo_flag,city
CD,Université de l'Uélé,['http://www.uniuele.ac.cd/'],,,"Congo, the Democratic Republic of the",https://www.univ-reims.fr/minisite_184/media-images/23045/logo-universite-de-lille.jpg,FALSE,Isiro
CH,Fachhochschule St. Gallen,['https://www.fhsg.ch/'],,,Switzerland,https://www.ost.ch/typo3conf/ext/template/Resources/Public/Images/logo-mobile.svg,TRUE,
CH,Lucerne University of Applied Sciences and Arts ,['http://www.hslu.ch/'],,,Switzerland,https://www.hslu.ch/-/media/campus/common/images/header/hslu-logo.svg?la=de-ch,TRUE,
CH,NTB Interstate University of Applied Sciences of Technology,['http://www.ntb.ch/'],,,Switzerland,https://www.ost.ch/typo3conf/ext/template/Resources/Public/Images/logo-mobile.svg,TRUE,
CH,Pädagogische Hochschule Zürich (Zurich School of Education),['http://www.phzh.ch/'],,,Switzerland,https://phzh.ch/globalassets/phzh.ch/phzh_logo_ganz.svg,TRUE,
CH,School of Management Fribourg,['http://www.heg-fr.ch/'],,,Switzerland,http://getlogo.net/wp-content/uploads/2020/07/school-of-management-fribourg-logo-vector.png,FALSE,
CH,"Swiss Federal Institute of Technology, Lausanne",['http://www.epfl.ch/'],,,Switzerland,https://www.epfl.ch/wp/5.5/wp-content/themes/wp-theme-2018/assets/svg/epfl-logo.svg?refresh=now,TRUE,
CH,"Swiss Federal Institute of Technology, Zurich",['http://www.ethz.ch/'],,,Switzerland,https://www.topuniversities.com/sites/default/files/profiles/logos/eth-zurich-swiss-federal-institute-of-technology_201_large.jpg,TRUE,Z
CH,University of Applied Sciences Rapperswil,['http://www.hsr.ch/'],,,Switzerland,https://www.ost.ch/typo3conf/ext/template/Resources/Public/Images/logo-mobile.svg,TRUE,
CH,University of Berne,['http://www.unibe.ch/'],,,Switzerland,https://www.topuniversities.com/sites/default/files/profiles/logos/university-of-bern_55_large.jpg,TRUE,B
CH,University of Lausanne,['http://www.unil.ch/'],,,Switzerland,https://www.topuniversities.com/sites/default/files/profiles/logos/university-of-lausanne_592560cf2aeae70239af4bd3_large.jpg,TRUE,L
CH,University of Lucerne,['http://www.unilu.ch/'],,,Switzerland,http://seekvectorlogo.com/wp-content/uploads/2019/08/universitaet-luzern-university-of-lucerne-vector-logo.png,FALSE,
CH,University of Neuchatel,['http://www.unine.ch/'],,,Switzerland,http://www.unine.ch/modules/unine-templates/images/logo_unine.png,TRUE,
CH,University of St. Gallen,['http://www.unisg.ch/'],,,Switzerland,https://www.topuniversities.com/sites/default/files/profiles/logos/university-of-st.gallen-hsg_571_large.jpg,TRUE,S
CH,University of the Italian-speaking Part of Switzerland,['http://www.unisi.ch/'],,,Switzerland,https://d1yjjnpx0p53s8.cloudfront.net/styles/logo-original-577x577/s3/072012/ch-it_0.png?itok=Opn6Bfoo,FALSE,
CH,University of Zürich,['http://www.unizh.ch/'],,,Switzerland,https://www.uzh.ch/cmsssl/terrific/modules/Logo/img/uzh_logo_d_pos_web_main.jpg,TRUE,
CN,Chongqing University of Science and Technology ,['http://www.cqust.cn/'],,,China,https://www.digiedupro.com/media/2019/01/Chongqing-University-of-Science-and-Technology-logo.png,FALSE,
CN,Dalian Polytechnic University,['http://www.dlpu.edu.cn/'],,,China,https://competition.adesignaward.com/brands/bedd521a982600036499daaae2d6f22f0b759bf6.jpg,FALSE,Dalian
CN,Guangdong Peizheng College ,['http://www.peizheng.com.cn/'],,,China,https://www.chinauniversityjobs.com/wp-content/uploads/2021/12/l%E5%B9%BF%E4%B8%9C%E5%9F%B9%E6%AD%A3%E5%AD%A6%E9%99%A2logo-min.jpg,FALSE,
CN, Huaihua University,['http://www.hhu.edu.cn/'],,,China,https://www.hhu.edu.cn/_upload/site/00/03/3/logo.png,TRUE,
CN,Shanghai Ocean University,['http://www.shou.edu.cn/'],,,China,https://www.elementar.com/fileadmin/_processed_/7/8/csm_cs-shanghai-ocean-university-logo_6563fa1876.jpg,FALSE,Shanghai
CN,Shihezi University ,['http://www.shzu.edu.cn/'],,,China,https://2.bp.blogspot.com/-8nFsJe-eHfk/V2fYell8BwI/AAAAAAAAAEo/9Q4j3kkQ8mw7Z5-XrSxgIoLOHC9Gspt-QCLcB/s1600/Shihezi-University-Main-logo.jpg,FALSE,
CN,South University of Science and Technology of China ,['http://www.sustc.edu.cn/'],,,China,https://www.stonybrook.edu/commcms/studyabroad/_images/university-logos/South_University_of_Science_and_Technology_of_China_logo.png,FALSE,
CN,Tarim University,['http://www.taru.edu.cn/'],,,China,https://www.taru.edu.cn/images/logo.png,TRUE,Alar
CN,Wudanshan Taoist College ,['http://www.wdsdjxy.com/'],,,China,http://www.wdsdjxy.com/uploadfile/image/logo.png,TRUE,
CN,Zhejiang Sci-Tech University ,['http://www.zstu.edu.cn/'],,,China,https://www.zstu.edu.cn/images/t_logo.png,TRUE,
CZ,Palacky University,['http://www.upol.cz/'],,,Czech Republic,http://www.upol.cz/fileadmin/up/temp/olomoucky-kraj_logo_bila_zona.svg,TRUE,
DE,Fachhochschule Bonn-Rhein-Sieg,['http://www.fh-bonn-rhein-sieg.de/'],,,Germany,http://studyqa.com/media/upload/univers/241/41/uni_profile_24141.jpg,FALSE,
DE,Fachhochschule Braunschweig/Wolfenbüttel,['http://www.fh-wolfenbuettel.de/'],,,Germany,https://job-assets-prod.storage.googleapis.com/005310519/20181130105633Z/header_5553.jpg,FALSE,
DE,Fachhochschule Deggendorf,['http://www.fh-deggendorf.de/'],,,Germany,https://th-deg.de/static/images/logos/THD-Logo.png,TRUE,
DE,Fachhochschule Düsseldorf,['http://www.fh-duesseldorf.de/'],,,Germany,https://www.hs-duesseldorf.de/_layouts/15/FHD.Internet/images/fb_logo_weiss.png,TRUE,
DE,Fachhochschule für Technik und Wirtschaft Berlin,['http://www.fhtw-berlin.de/'],,,Germany,https://www.karrieretag.org/wp-content/uploads/2019/01/Hochschule-fuer-Technik-und-Wirtschaft-Berlin-Logo-300x180.png,FALSE,
DE,Fachhochschule Ingolstadt,['http://www.fh-ingolstadt.de/'],,,Germany,https://www.fh-ingolstadt.de/typo3conf/ext/in2template/Resources/Public/Images/thi_logo_vertikal.png,TRUE,
DE,Fachhochschule Neu-Ulm,['http://www.fh-neu-ulm.de/'],,,Germany,https://www.hnu.de/typo3conf/ext/cb_cosmobase/Resources/Public/Images/logos/logo-main.svg,TRUE,
DE,"Fachhochschule Ulm, Hochschule für Technik",['http://www.fh-ulm.de/'],,,Germany,https://media-exp1.licdn.com/dms/image/C4D0BAQHIOVDeIrgrIA/company-logo_200_200/0?e=2159024400&v=beta&t=-cGzlnI-RP2A7Uo-PP_CFRabmbLkXhdw-GLh-Qy0NT8,FALSE,
DE,Hochschule für Technik und Wirtschaft Karlsruhe,['http://www.hs-karlsruhe.de/'],,,Germany,https://www.top-wissenschaft.de/uploads/tx_topwissenschaft/institute/2707/hs.jpg,FALSE,
DE,"Kunsthochschule Berlin-Weissensee, Hochschule für Gestaltung ",['http://www.kh-berlin.de/'],,,Germany,https://kh-berlin.de/typo3conf/ext/vtm_basic/img/weissensee_logo.svg,TRUE,
DE,Northern Institute of Technology Management (NIT),['http://www.nithh.de/'],,,Germany,https://www.nithh.de/typo3conf/ext/kw_website_nithh/Resources/Public/images/logo.png,TRUE,
DE,Technische Universität Carolo-Wilhelmina Braunschweig,['http://www.tu-bs.de/'],,,Germany,https://www.tu-braunschweig.de/typo3conf/ext/tu_braunschweig/Resources/Public/Images/Logos/tu_braunschweig_logo.svg,TRUE,
DE,Technische Universität Hamburg-Harburg,['http://www.tu-harburg.de/'],,,Germany,https://lifelongjoints.eu/wp-content/uploads/2014/02/logo_tu-harburg.gif,FALSE,
DE,Universität Dortmund,['http://www.uni-dortmund.de/'],,,Germany,https://www.tu-dortmund.de/typo3conf/ext/tudo_base/Resources/Public/Images/tu-dortmund-logo-claim-de.svg,TRUE,
DE,Universität Fridericana Karlsruhe (Technische Hochschule),['http://www.uni-karlsruhe.de/'],,,Germany,https://www.betriebliche-eingliederung.de/fileadmin/_processed_/f/3/csm_Universitaet_Karlsruhe_TH_35a48ede69.gif,FALSE,
DK,University of Southern Denmark,['http://www.sdu.dk/'],,,Denmark,https://www.topuniversities.com/sites/default/files/profiles/logos/university-of-southern-denmark_592560cf2aeae70239af4c53_large.jpg,TRUE,O
DM,Ballsbridge University ,['http://www.acedu.org/'],,,Dominica,http://www.acedu.org/uploads/9/3/9/2/9392622/published/ieb-logo-trans.png?1653082156,TRUE,
DO,Universidad Central Dominicana de Estudio Profesionales,['http://66.98.64.31/'],,,Dominican Republic,https://uni.com.do/wp-content/uploads/2021/06/LOGO-UCDEP-150x150.png,FALSE,
DZ,Université Dr Tahar Moulay,['http://www.univ-saida.dz/'],,,Algeria,https://www.univ-saida.dz/wp-content/uploads/2020/06/cropped-logo-univ-saida-1.png,TRUE,
EC,Universidad de Especialidades Turísticas ,['http://www.uct.edu.ec/'],,,Ecuador,https://www.universidades.com.ec/logos/original/logo-universidad-de-especialidades-turisticas.png,FALSE,
EG,Delta University,['http://www.deltauniv.edu.eg/'],,,Egypt,https://new.deltauniv.edu.eg/assets/images/logo delta2.png,TRUE,
EG,Port Said University,['http://www.psu.edu.eg/'],,,Egypt,"https://sp-ao.shortpixel.ai/client/to_auto,q_glossy,ret_img/https://psu.edu.eg/wp-content/uploads/2020/07/cropped-logo-arb-3.png",TRUE,Port Said
EG,University of Sadat City,['http://www.usc.edu.eg/'],,,Egypt,https://backend.easyschools.org/uploads/universities/logo/IFWys4Dbwhgz1ecwr6URPOlESWxNr22XUCUGytom.png,FALSE,Sadat
FJ,Fiji National University ,['http://www.fnu.ac.fj/'],,,Fiji,https://www.fnu.ac.fj/wp-content/uploads/2019/10/logo_for_top_most_menu.png,TRUE,
FR,Ecole Nationale Supérieure de Biologie Appliquée à la Nutrition et à l'Alementation,['http://www.u-bourgogne.fr/ENSBANA/'],,,France,https://w7.pngwing.com/pngs/531/369/png-transparent-nha-trang-university-school-college-ecole-nationale-superieure-de-biologie-appliquee-a-la-nutrition-et-a-l-alimentation-school.png,FALSE,
FR,Ecole Nationale Supérieure d'Electronique et de Radioelectricite de Grenoble,['http://www.enserg.fr/'],,,France,https://phelma.grenoble-inp.fr/medias/photo/logo-cti_1521715217794-png?ID_FICHE=172803,TRUE,
FR,Ecole Nationale Supérieure de Physique de Grenoble,['http://www-enspg.inpg.fr/'],,,France,https://www.grenoble-inp.fr/medias/photo/logo-cti_1521715217794-png?ID_FICHE=691545,TRUE,
FR,Ecole Nationale Supérieure d'Hydraulique et de Mécanique de Grenoble,['http://www.hmg.inpg.fr/'],,,France,https://swatchprima.com/wp-content/uploads/2021/03/ensh-1024x695.png,FALSE,
FR,Ecole Nationale Superieure d'Informatique et de Mathematiques Appliquees de Grenoble,['http://www-ensimag.imag.fr/'],,,France,https://e7.pngegg.com/pngimages/385/873/png-clipart-ecole-nationale-superieure-d-informatique-et-de-mathematiques-appliquees-de-grenoble-brand-logo-product-design-cip-oacute.png,FALSE,
FR,Ecole Nationale Supérieure d'Ingenieurs Electriciens de Grenoble,['http://www.ensieg.inpg.fr/'],,,France,http://www.marseille.archi.fr/wp-content/uploads/2020/02/grenoble.png,FALSE,
